[2020-09-10 15:12:49.190] Starting up round ID .
 - -------------------------
[2020-09-10 15:57:55.778] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:58:26.001] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:58:32.039] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Try our new nougat bar!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:58:42.040] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Try our new nougat bar!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 16:00:36.846] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 16:01:00.889] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 16:01:53.225] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Try our new nougat bar!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 16:02:29.228] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 16:02:47.410] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Try our new nougat bar!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 16:04:21.935] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I&#39;d rather toolbox than switch." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
