[2020-08-28 04:02:40.776] Starting up round ID .
 - -------------------------
[2020-08-28 04:13:33.535] Logs from logging subsystem:
 - (2020-08-28 01:11:21) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:23) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:23) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:25) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:25) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:27) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:27) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:28) ATTACK: *no key*/(Skylar Clark) has suffered: Hairline Fracture to chest | Damage: 9.9(rolled 11/24.7679) (Small Freighter (56, 75, 3))
 - (2020-08-28 01:11:29) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:29) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:31) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:31) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:33) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:33) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:34) ATTACK: *no key*/(Topcake) has suffered: Third Degree Burns to groin | Damage: 10.8(rolled 7/27.9765) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:11:35) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:35) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:37) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:37) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:39) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:39) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:41) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
